title,company,location,salary_min,salary_max,description,posted_date,job_url,search_title
Remote Data Analyst/ Scientist / Business Analyst,SynergisticIT,US,127987.44,127987.44,"Since 2010 and almost 14 years SynergisticIT has helped Jobseekers get employed in the tech Job market by providing candidates the requisite skills, experience and technical competence to outperform at interviews and at clients. Post Covid the tech Layoffs have been massive-In 2022 there were 165,269 tech layoffs, In 2023 there were 264,220 tech layoffs and so far in 2024 there have been 126,382 tech layoffs. (Source Layoffs.fyi ) -Total layoffs as per this 555,871 tech layoffs. Client, Dell an…",2026-05-10T13:41:56Z,https://www.adzuna.com/land/ad/5725255651?se=zMdRRxBX8RGRtbKAtKVaMg&utm_medium=api&utm_source=d2e6d718&v=8D777AA5B56F9D44229640E475F421D984D1B73E,Data Analyst
Data Analyst,"Bausch-White Masonry, LLC","Chicago, Cook County",102613.12,102613.12,", 40 hours per week Position: Data Analyst Company Overview: Bausch-White Masonry, LLC is a leading construction company specializing in masonry work for commercial and residential projects. With over 20 years of experience, we pride ourselves on providing high-quality and efficient services to our clients. Our team is dedicated to delivering exceptional results and building strong relationships with our customers. Job Overview: We are seeking a highly motivated and detail-oriented Data Analyst…",2026-05-17T01:27:18Z,https://www.adzuna.com/details/5732183860?utm_medium=api&utm_source=d2e6d718,Data Analyst
Data Analyst,"Bausch-White Masonry, LLC","Houston, Houston County",93861.3,93861.3,", on-site Position: Data Analyst Bausch-White Masonry, LLC is seeking a highly motivated and skilled Data Analyst to join our team on a full-time, on-site basis. As a leading masonry contractor, we are committed to providing high-quality services to our clients and we are looking for a talented individual to help us analyze and utilize our data to drive business decisions. Responsibilities: - Collect, organize, and analyze large sets of data from various sources - Develop and implement data col…",2026-05-17T01:27:18Z,https://www.adzuna.com/details/5732183861?utm_medium=api&utm_source=d2e6d718,Data Analyst
Data Analyst,Healthix,"Chelsea and Clinton, Manhattan",90000.0,125000.0,"JOB TITLE: Data Analyst REPORTS TO: Director of Data Strategy and Reporting DEPARTMENT: IT HOURS: 40 Hours FLSA STATUS: Exempt SALARY: $90k-125k POSITION SUMMARY: The Data Analyst provides the foundation for analytics, namely the collection, quality assurance and availability of data. This IT role requires a significant set of technical skills, including a deep knowledge of SQL, SQL database design and multiple programming languages as well as communication skills to understand what data and an…",2026-03-17T13:28:51Z,https://www.adzuna.com/details/5669713579?utm_medium=api&utm_source=d2e6d718,Data Analyst
Data Analyst,Extract Wellness,"Nampa, Canyon County",84884.49,84884.49,"Data Analyst Job Description Job Responsibilities: Collect and analyze data to identify trends and insights Prepare and present reports to management to aid in decision-making Develop and maintain databases to ensure data integrity Collaborate with teams to improve data collection and analysis processes Use statistical methods to analyze data and generate useful business insights Essential Qualifications: Bachelor's degree in a related field such as Statistics, Mathematics, or Computer Science …",2026-05-18T16:23:04Z,https://www.adzuna.com/details/5733352563?utm_medium=api&utm_source=d2e6d718,Data Analyst
Data Analyst,"Bausch-White Masonry, LLC","Washington, Washington, D.C.",100024.86,100024.86,", 40 hours per week Position: Data Analyst Company Overview: Bausch-White Masonry, LLC is a leading construction company specializing in masonry and concrete services. With over 20 years of experience, we have established a strong reputation for delivering high-quality projects on time and within budget. Our team is dedicated to providing exceptional customer service and ensuring the success of every project we undertake. Position Overview: We are seeking a highly analytical and detail-oriented…",2026-05-17T01:27:18Z,https://www.adzuna.com/details/5732183864?utm_medium=api&utm_source=d2e6d718,Data Analyst
Data Analyst,"Bausch-White Masonry, LLC","Phoenix, Maricopa County",91580.92,91580.92,", on-site Position: Data Analyst Company Overview: Bausch-White Masonry, LLC is a leading construction company specializing in masonry and concrete work. With over 20 years of experience, we have built a strong reputation for delivering high-quality projects on time and within budget. Our company is committed to providing exceptional service to our clients and creating a positive work environment for our employees. Job Overview: We are seeking a highly analytical and detail-oriented Data Analys…",2026-05-17T01:27:18Z,https://www.adzuna.com/details/5732183859?utm_medium=api&utm_source=d2e6d718,Data Analyst
Data Analyst,"Bausch-White Masonry, LLC","New York City, New York",94140.29,94140.29,"Position: Data Analyst Company Overview: Bausch-White Masonry, LLC is a leading construction company specializing in masonry services. With over 20 years of experience in the industry, our company has built a reputation for delivering high-quality projects on time and within budget. We are dedicated to providing our clients with the best possible service and are constantly looking for ways to improve and innovate. Job Overview: We are seeking a highly skilled and motivated Data Analyst to join …",2026-05-17T01:27:18Z,https://www.adzuna.com/details/5732183876?utm_medium=api&utm_source=d2e6d718,Data Analyst
Data Analyst,Extract Wellness,"Hollywood, Broward County",101657.11,101657.11,"Job Description Extract Wellness is seeking a skilled Data Analyst to join our team and play a key role in analyzing data to drive business decisions and support overall wellness efforts. As a Data Analyst, you will be responsible for collecting, interpreting, and analyzing data to provide valuable insights that will help improve our products and services. Job Responsibilities: Collect, clean, and analyze data to identify trends and patterns Interpret data and create reports to present findings…",2026-05-09T11:45:49Z,https://www.adzuna.com/details/5724281594?utm_medium=api&utm_source=d2e6d718,Data Analyst
Data Analyst,Outsourced,US,80000.0,80000.0,"About Us: Outsourced is a leading Philippines outsourcing company providing dedicated remote staff and offshore staffing services. We specialise in providing staff of the highest quality who will continue to exceed your expectations and provide benchmark offshore solutions to your business. With Outsourced you can scale your organisation quickly, easily and cost effectively with dedicated remote staff based in our modern offices in Manila. Position Summary We are seeking a Data Analyst to suppo…",2026-04-28T10:24:23Z,https://www.adzuna.com/details/5712790826?utm_medium=api&utm_source=d2e6d718,Data Analyst
