,EMPLOYER_NAME,APPROVED,TOTAL_APPLICATIONS,APPROVAL_RATE
1,"Capital One Services, LLC",85,85,100.0
2,"WAL-MART ASSOCIATES, INC.",66,67,98.51
3,"Capital One, National Association",66,66,100.0
4,KFORCE INC. ,37,37,100.0
5,Intuit Inc.,31,32,96.88
6,Johns Hopkins University,16,30,53.33
7,CAPGEMINI AMERICA INC,18,24,75.0
8,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,14,24,58.33
9,Capgemini America Inc,21,23,91.3
10,"Chime Financial, Inc.",19,21,90.48
11,TT Commerce & Global Services LLC,21,21,100.0
12,"Meta Platforms, Inc",17,17,100.0
13,ROBOTICS TECHNOLOGIES LLC,14,17,82.35
14,"Optum Services, Inc. ",17,17,100.0
15,"Uber Technologies, Inc.",16,16,100.0
16,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",6,15,40.0
17,Federal Express Corporation,14,14,100.0
18,"The Leland Stanford, Jr University",12,14,85.71
19,"The Vanguard Group, Inc.",12,13,92.31
20,"Exel, Inc. ",12,12,100.0
