,STATE,OFFERED_SALARY_MEAN,OFFERED_SALARY_MEDIAN,APPLICATION_COUNT,PREVAILING_WAGE_MEAN,PREVAILING_WAGE_MEDIAN,SALARY_DIFF,SALARY_DIFF_PCT
1,CA,431202.0,162500.0,88916,419409.0,147014.0,11793.0,2.81
2,TX,371848.0,109283.0,53822,362190.0,105560.0,9658.0,2.67
3,NJ,307690.0,112424.0,39843,297531.0,102794.0,10159.0,3.41
4,NY,475535.0,131997.0,32155,414581.0,111342.0,60954.0,14.7
5,WA,198560.0,160000.0,29383,207528.0,136843.0,-8969.0,-4.32
6,IL,369693.0,128500.0,21647,376661.0,112424.0,-6968.0,-1.85
7,MA,405986.0,125000.0,17308,401283.0,112746.0,4702.0,1.17
8,PA,389785.0,123729.0,14727,358422.0,109283.0,31363.0,8.75
9,MI,416700.0,110310.0,12944,456472.0,102045.0,-39772.0,-8.71
10,VA,336292.0,118498.0,12301,338309.0,108971.0,-2017.0,-0.6
11,GA,365305.0,109283.0,11655,313584.0,105061.0,51722.0,16.49
12,MD,261210.0,96524.0,10784,230846.0,91686.0,30364.0,13.15
13,FL,265976.0,114000.0,10603,236147.0,100339.0,29829.0,12.63
14,NC,352108.0,116397.0,9789,349578.0,108826.0,2530.0,0.72
15,OH,404626.0,109330.0,6420,374931.0,98082.0,29695.0,7.92
16,TN,281880.0,113360.0,5371,681281.0,99195.0,-399402.0,-58.63
17,MN,433812.0,119500.0,4831,461826.0,109630.0,-28013.0,-6.07
18,MO,339624.0,116346.0,4734,280875.0,105997.0,58749.0,20.92
19,AZ,399112.0,116080.0,4356,432553.0,108555.0,-33441.0,-7.73
20,AR,341228.0,140673.0,3716,301225.0,105997.0,40003.0,13.28
21,IN,312507.0,111966.0,3449,344585.0,93330.0,-32078.0,-9.31
22,WI,343138.0,116106.0,3115,365723.0,103272.0,-22585.0,-6.18
23,CO,502205.0,110100.0,3044,568471.0,98738.0,-66266.0,-11.66
24,CT,861442.0,120000.0,2966,765358.0,105144.0,96085.0,12.55
25,RI,144213.0,137686.0,2000,122172.0,122699.0,22042.0,18.04
26,UT,636932.0,120000.0,1957,486732.0,103397.0,150201.0,30.86
27,NE,262353.0,118055.0,1925,444165.0,101358.0,-181812.0,-40.93
28,SC,299567.0,95000.0,1807,456590.0,84032.0,-157022.0,-34.39
29,DE,504337.0,108000.0,1734,484586.0,103605.0,19751.0,4.08
30,IA,372351.0,100838.0,1667,338373.0,88067.0,33979.0,10.04
31,KY,575010.0,108540.0,1458,625951.0,98301.0,-50941.0,-8.14
32,DC,626040.0,104250.0,1439,707820.0,88941.0,-81779.0,-11.55
33,AL,593159.0,99195.0,1327,948121.0,74303.0,-354963.0,-37.44
34,LA,568372.0,88546.0,1253,555788.0,68432.0,12584.0,2.26
35,KS,532077.0,95701.0,1240,463856.0,86549.0,68220.0,14.71
36,OR,756036.0,117091.0,1233,775261.0,101504.0,-19224.0,-2.48
37,OK,324191.0,88962.0,949,216196.0,72426.0,107994.0,49.95
38,NM,601542.0,84742.0,859,530458.0,68411.0,71084.0,13.4
39,NV,842249.0,122331.0,843,735527.0,104042.0,106722.0,14.51
40,NH,473604.0,109616.0,662,452432.0,96377.0,21173.0,4.68
41,GU,908225.0,60000.0,651,1242316.0,55182.0,-334091.0,-26.89
42,ID,129714.0,123877.0,644,105200.0,102752.0,24514.0,23.3
43,SD,125583.0,100000.0,564,413996.0,96013.0,-288413.0,-69.67
44,MS,125909.0,70000.0,554,80918.0,55917.0,44991.0,55.6
45,ND,98575.0,68318.0,493,523474.0,60008.0,-424898.0,-81.17
46,WV,194023.0,120765.0,434,83665.0,66685.0,110358.0,131.91
47,ME,511027.0,110000.0,429,423103.0,95264.0,87924.0,20.78
48,WY,3254402.0,106197.0,320,3364661.0,105997.0,-110259.0,-3.28
49,VT,149170.0,94766.0,316,114454.0,89814.0,34716.0,30.33
50,AK,709105.0,77694.0,309,696476.0,70320.0,12629.0,1.81
51,HI,105688.0,88000.0,207,1954840.0,75005.0,-1849152.0,-94.59
52,MT,102606.0,72842.0,171,921951.0,59634.0,-819345.0,-88.87
53,MP,78153.0,47362.0,77,72436.0,47362.0,5718.0,7.89
54,PR,5491020.0,70000.0,77,4711817.0,61672.0,779203.0,16.54
55,VI,64524.0,53759.0,34,56605.0,49900.0,7919.0,13.99
