FISCAL_YEAR,EMPLOYER_NAME,SPONSORSHIPS
2024,Amazon.com Services LLC,3263
2025,Amazon.com Services LLC,5186
2026,Amazon.com Services LLC,2413
2021,Apple Inc.,90
2022,Apple Inc.,114
2023,Apple Inc.,64
2024,Apple Inc.,1002
2025,Apple Inc.,3391
2026,Apple Inc.,2015
2024,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,2747
2025,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,4002
2026,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,1944
2024,Deloitte Consulting LLP,588
2025,Deloitte Consulting LLP,1891
2026,Deloitte Consulting LLP,939
2023,Ernst & Young U.S. LLP,6
2024,Ernst & Young U.S. LLP,1362
2025,Ernst & Young U.S. LLP,3163
2026,Ernst & Young U.S. LLP,2536
2022,Google LLC,1
2023,Google LLC,1
2024,Google LLC,1393
2025,Google LLC,1744
2026,Google LLC,2139
2024,INFOSYS LIMITED,1006
2025,INFOSYS LIMITED,2697
2026,INFOSYS LIMITED,1626
2021,JPMorgan Chase & Co.,4
2023,JPMorgan Chase & Co.,1
2024,JPMorgan Chase & Co.,703
2025,JPMorgan Chase & Co.,1176
2026,JPMorgan Chase & Co.,1221
2024,"Meta Platforms, Inc",1492
2025,"Meta Platforms, Inc",1730
2026,"Meta Platforms, Inc",1659
2024,Microsoft Corporation,2871
2025,Microsoft Corporation,3224
2026,Microsoft Corporation,1449
