,CITY_STATE,STATE,TOTAL_APPLICATIONS,APPROVED,APPROVAL_RATE
1,"New York, NY",NY,17893,15708,87.79
2,"Seattle, WA",WA,17661,17345,98.21
3,"Chicago, IL",IL,11036,10432,94.53
4,"San Francisco, CA",CA,10882,9812,90.17
5,"Santa Clara, CA",CA,10235,9931,97.03
6,"COLLEGE STATION, TX",TX,8709,8616,98.93
7,"Redmond, WA",WA,8539,8373,98.06
8,"San Jose, CA",CA,8465,7808,92.24
9,"Secaucus, NJ",NJ,7154,6805,95.12
10,"Mountain View, CA",CA,7044,6867,97.49
11,"Cupertino, CA",CA,6797,5821,85.64
12,"Boston, MA",MA,6311,5775,91.51
13,"Menlo Park, CA",CA,5744,5666,98.64
14,"RICHARDSON, TX",TX,5678,5611,98.82
15,"NEW YORK, NY",NY,5491,4908,89.38
16,"Austin, TX",TX,5191,4510,86.88
17,"Princeton, NJ",NJ,4588,4307,93.88
18,"Dallas, TX",TX,4127,3754,90.96
19,"Houston, TX",TX,4016,3438,85.61
20,"Atlanta, GA",GA,3882,3392,87.38
21,"Irving, TX",TX,3430,3113,90.76
22,"Philadelphia, PA",PA,3110,2890,92.93
23,"Rockville, MD",MD,2881,2841,98.61
24,"PHILADELPHIA , PA",PA,2854,2837,99.4
25,"ROCKVILLE, MD",MD,2746,2707,98.58
26,"Plano, TX",TX,2681,2547,95.0
27,"BENTONVILLE, AR",AR,2656,2607,98.16
28,"Edison, NJ",NJ,2615,2478,94.76
29,"Durham, NC",NC,2592,2063,79.59
30,"Alpharetta, GA",GA,2420,2209,91.28
